time,Gqw,Gqx,Gqy,Gqz,Lqw,Lqx,Lqy,Lqz,rx,ry,rz,lx,ly,lz,ax,ay,az,mx,my,mz,gx,gy,gz,temp
0.47047,0.180271,0.646797,-0.718708,-0.180596,0.180271,0.646797,-0.718708,-0.180596,2.626115,-0.025509,-1.669299,-0.146099,-0.394312,0.111167,-0.01144,1.002035,0.001803,-59.773369,20.406071,-25.003721,0.3181,0.067742,-0.356269,32.277519
0.48048,0.182268,0.652127,-0.712106,-0.185511,0.182268,0.652127,-0.712106,-0.185511,2.615674,-0.017636,-1.653923,-0.13887,-0.399723,0.11725,-0.01144,1.002409,0.001612,-59.773369,20.406071,-25.003721,0.34104,0.067742,-0.229713,32.277519
0.49049,0.188667,0.6581,-0.703141,-0.1921,0.188667,0.6581,-0.703141,-0.1921,2.596485,-0.012478,-1.633461,-0.126746,-0.40921,0.130652,-0.010691,1.002222,0.000851,-59.543407,20.06748,-25.082796,0.292165,0.067742,-0.241054,32.277519
0.5005,0.185611,0.665127,-0.697828,-0.190241,0.185611,0.665127,-0.697828,-0.190241,2.603581,-0.005981,-1.617124,-0.128135,-0.414816,0.121307,-0.010504,1.002409,0.000851,-59.543407,20.06748,-25.082796,0.317504,-0.071389,-0.24462,32.29002
0.51051,0.182554,0.672151,-0.693027,-0.186012,0.182554,0.672151,-0.693027,-0.186012,2.614258,-0.002973,-1.600575,-0.13041,-0.419625,0.109751,-0.009755,1.002409,0.000089,-59.62006,19.982832,-25.240944,0.340384,0.067742,-0.24784,32.315018
0.52052,0.180909,0.679054,-0.687385,-0.183465,0.180909,0.679054,-0.687385,-0.183465,2.620398,0.000456,-1.583112,-0.131244,-0.42518,0.101925,-0.009568,1.003158,0.000279,-59.62006,19.982832,-25.240944,0.27153,0.067742,-0.383228,32.29002
0.53053,0.177776,0.68727,-0.680807,-0.180439,0.177776,0.68727,-0.680807,-0.180439,2.629438,0.005958,-1.562908,-0.131915,-0.433933,0.091163,-0.009755,1.002409,0.00047,-59.773369,19.982832,-25.240944,0.272173,0.067742,-0.310281,32.302517
0.54054,0.174227,0.697155,-0.671595,-0.180497,0.174227,0.697155,-0.671595,-0.180497,2.634721,0.01765,-1.538025,-0.130256,-0.448814,0.084183,-0.010878,1.001848,0.00047,-59.773369,19.982832,-25.240944,0.259474,0.137307,-0.161454,32.302517
0.55055,0.170209,0.707139,-0.662413,-0.179424,0.170209,0.707139,-0.662413,-0.179424,2.642512,0.028262,-1.512707,-0.127817,-0.4639,0.074517,-0.01144,0.999788,0.00047,-59.850021,20.236774,-25.082796,0.387124,-0.001823,-0.222254,32.277519
0.56056,0.166805,0.715152,-0.655606,-0.175823,0.166805,0.715152,-0.655606,-0.175823,2.653009,0.032768,-1.49214,-0.128844,-0.472669,0.062566,-0.01144,0.999788,0.001803,-59.850021,20.236774,-25.082796,0.356847,0.067742,-0.207696,32.265018
0.57057,0.163678,0.721519,-0.650173,-0.172901,0.163678,0.721519,-0.650173,-0.172901,2.662093,0.036674,-1.475828,-0.13004,-0.477211,0.053607,-0.012001,1.001286,0.002184,-59.62006,20.06748,-24.924648,0.399033,0.067742,-0.194531,32.29002
0.58058,0.156883,0.728779,-0.645078,-0.16776,0.156883,0.728779,-0.645078,-0.16776,2.679862,0.04213,-1.459003,-0.134195,-0.484123,0.037826,-0.011627,1.002784,0.001803,-59.62006,20.06748,-24.924648,0.304706,-0.001823,-0.315128,32.302517
0.59059,0.149275,0.736987,-0.639157,-0.161389,0.149275,0.736987,-0.639157,-0.161389,2.700636,0.04708,-1.439409,-0.137887,-0.490212,0.019749,-0.014435,1.003158,0.000851,-59.62006,19.813538,-25.082796,0.421441,-0.210519,-0.2288,32.302517
0.6006,0.142594,0.744295,-0.633771,-0.155001,0.142594,0.744295,-0.633771,-0.155001,2.719966,0.05001,-1.421439,-0.142376,-0.464433,0.00326,-0.047572,1.00035,0.000089,-59.62006,19.813538,-25.082796,0.540313,-3.480084,-0.47865,32.302517
0.61061,0.137137,0.750734,-0.628788,-0.149056,0.137137,0.750734,-0.628788,-0.149056,2.736748,0.051365,-1.405005,-0.136454,-0.527414,-0.017161,0.011775,1.001286,0.003136,-59.773369,19.813538,-24.845573,0.800248,-34.019215,-1.496427,32.29002
0.62062,0.131081,0.756714,-0.624449,-0.142356,0.131081,0.756714,-0.624449,-0.142356,2.75539,0.051762,-1.389975,-0.142804,-0.513623,-0.030193,-0.006011,1.004094,0.001422,-59.773369,19.813538,-24.845573,0.207282,-3.82791,-0.429698,32.302517
0.63063,0.12457,0.762297,-0.619914,-0.138177,0.12457,0.762297,-0.619914,-0.138177,2.771388,0.056249,-1.376034,-0.142544,-0.513724,-0.047452,-0.009568,1.001848,0.004278,-60.003326,20.06748,-24.924648,-0.034385,-1.253997,-0.060837,32.302517
0.64064,0.118168,0.767754,-0.615139,-0.134885,0.118168,0.767754,-0.615139,-0.134885,2.786094,0.061777,-1.362069,-0.138839,-0.52489,-0.04986,-0.002828,1.004282,-0.006386,-60.003326,20.06748,-24.924648,0.088156,-0.001823,-0.194178,32.302517
0.65065,0.11314,0.773078,-0.609774,-0.133134,0.11314,0.773078,-0.609774,-0.133134,2.796723,0.067918,-1.347534,-0.140666,-0.522552,-0.064213,-0.010691,1.004843,0.000279,-59.926674,19.898186,-24.687426,1.603582,-0.071389,-1.510678,32.29002
0.66066,0.109544,0.777383,-0.605185,-0.132011,0.109544,0.777383,-0.605185,-0.132011,2.804258,0.072721,-1.335362,-0.137761,-0.525775,-0.072066,-0.009942,1.004656,0.002374,-59.926674,19.898186,-24.687426,0.60947,0.067742,-0.740721,32.29002
0.67067,0.10628,0.780484,-0.601749,-0.13209,0.10628,0.780484,-0.601749,-0.13209,2.809662,0.07836,-1.326738,-0.131454,-0.525462,-0.07529,-0.009193,1.002035,0.000851,-60.079979,19.898186,-24.687426,0.869455,-0.001823,-0.875564,32.315018
0.68068,0.103704,0.78364,-0.597725,-0.133707,0.103704,0.78364,-0.597725,-0.133707,2.812103,0.085688,-1.317483,-0.131131,-0.529166,-0.079557,-0.007134,1.005592,0.005421,-60.079979,19.898186,-24.687426,1.492243,-0.210519,-1.428205,32.277519
0.69069,0.101168,0.786885,-0.593786,-0.134144,0.101168,0.786885,-0.593786,-0.134144,2.816024,0.091094,-1.307853,-0.121812,-0.513278,-0.065891,-0.023421,1.001286,-0.011718,-60.156635,19.813538,-24.687426,4.205286,-0.280084,-3.793423,32.302517
0.7007,0.098665,0.79008,-0.590033,-0.133791,0.098665,0.79008,-0.590033,-0.133791,2.820911,0.095124,-1.298299,-0.113522,-0.478628,-0.031719,-0.060115,0.998478,-0.049422,-60.156635,19.813538,-24.687426,2.535721,-6.262693,-2.680379,32.302517
0.71071,0.096452,0.793318,-0.586211,-0.13304,0.096452,0.793318,-0.586211,-0.13304,2.825865,0.098161,-1.288403,-0.106391,-0.51063,-0.051836,-0.02754,0.998478,-0.03533,-59.773369,19.813538,-24.292055,2.535721,-55.236607,-3.723857,32.302517
0.72072,0.093486,0.796858,-0.581986,-0.132554,0.093486,0.796858,-0.581986,-0.132554,2.831777,0.102618,-1.277652,-0.096866,-0.535426,-0.043091,-0.005074,1.00372,-0.050374,-59.773369,19.813538,-24.292055,-1.290366,-64.210518,0.171795,32.277519
0.73073,0.090494,0.80052,-0.577391,-0.132658,0.090494,0.80052,-0.577391,-0.132658,2.837083,0.1081,-1.26632,-0.109774,-0.51323,-0.142882,-0.023608,0.982001,0.047314,-60.539898,19.813538,-23.105946,-3.864279,-35.201824,2.606577,32.29002
0.74074,0.088057,0.804207,-0.572562,-0.132925,0.088057,0.804207,-0.572562,-0.132925,2.841361,0.113204,-1.254553,-0.086843,-0.549914,-0.118421,0.011587,0.984248,0.015894,-60.539898,19.813538,-23.105946,5.248765,-24.697475,-5.323857,32.302517
0.75075,0.086762,0.808415,-0.566848,-0.132744,0.086762,0.808415,-0.566848,-0.132744,2.844485,0.116526,-1.240499,-0.095079,-0.539669,-0.080494,-0.011065,1.003346,-0.01724,-60.846512,19.898186,-22.6315,-1.707757,-1.740954,1.771795,32.29002
0.76076,0.086695,0.812017,-0.56163,-0.132978,0.086695,0.812017,-0.56163,-0.132978,2.845039,0.118859,-1.227972,-0.093972,-0.544337,-0.089876,-0.009755,1.005218,-0.006005,-60.846512,19.898186,-22.6315,3.440069,-3.062693,-3.09777,32.29002
0.77077,0.086212,0.815637,-0.556376,-0.133227,0.086212,0.815637,-0.556376,-0.133227,2.846282,0.121697,-1.215396,-0.090951,-0.534789,-0.056508,-0.026791,1.012707,-0.037044,-60.846512,19.644243,-22.552427,4.205286,-2.923563,-3.862988,32.302517
0.78078,0.082744,0.819263,-0.551439,-0.1337,0.082744,0.819263,-0.551439,-0.1337,2.852196,0.128165,-1.203575,-0.092131,-0.541819,-0.124586,-0.017618,1.000537,0.025796,-60.846512,19.644243,-22.552427,6.292243,-7.653997,-6.228205,32.277519
0.79079,0.077053,0.82357,-0.545797,-0.133795,0.077053,0.82357,-0.545797,-0.133795,2.862445,0.136693,-1.189766,-0.105087,-0.565798,-0.123564,-0.00807,1.025813,0.022178,-60.999821,19.474949,-22.710575,10.744416,-5.984432,-9.984727,32.302517
